Name,Access count,Duration
System UI,9,00:01:06
Zenbo App List,116,02:26:12
Device boot,10,00:00:13
FacialExp,12,00:00:03
Talk,11,00:07:25
Screen on (unlocked),2,00:00:06
Screen off,2,00:10:37
ZenboClassroomMode,2,00:01:26
Photos,6,00:01:14
Slides,4,00:00:49
Settings,10,00:03:49
Zenbo Classroom Mode,17,00:32:28
Package installer,14,00:00:30
Documents,2,00:00:12
Facebook,3,00:00:29
Camera,5,00:05:02
Recipes,15,00:11:54
Zenbo Video,12,00:12:30
Keyboards,3,00:00:24
Smart Home,13,00:09:36
LocalDS,8,00:02:40
Shopping,6,00:05:50
Portal App,11,00:03:59
Zenbo Fun Coding,4,00:11:17
Classroom,5,00:01:02
Drive,2,00:00:03
Zenbo_alarm,4,00:00:58
Google Play Store,2,00:02:38
Zenbo App Builder,2,00:00:27
RobotProvider,2,00:00:33
App Usage,1,00:00:09
Weather,2,00:05:12
Music,1,00:00:02
Home Mapping,1,00:00:02
