TimeStamp,Corrected Sentence,time
1573086087402,can you hear me,11/7/2019 8:21:27
1573086363040,can you hear me,11/7/2019 8:26:03
1573092330273,pick give a ring,11/7/2019 10:05:30
1573092352948,back,11/7/2019 10:05:53
1573092369555,follow me,11/7/2019 10:06:10
1573092447343,filter,11/7/2019 10:07:27
1573092487482,pick,11/7/2019 10:08:07
1573092490880,misrecognition,11/7/2019 10:08:11
1573092494305,classroom control,11/7/2019 10:08:14
1573092512969,turn off,11/7/2019 10:08:33
1573092544469,misrecognition,11/7/2019 10:09:04
1573092560304,misrecognition,11/7/2019 10:09:20
1573092564478,camera off,11/7/2019 10:09:24
1573092570699,level two,11/7/2019 10:09:31
1573092602735,back,11/7/2019 10:10:03
1573092655692,open browser,11/7/2019 10:10:56
1573092727863,misrecognition,11/7/2019 10:12:08
1573092735571,misrecognition,11/7/2019 10:12:16
1573092740969,pick up,11/7/2019 10:12:21
1573092758761,back,11/7/2019 10:12:39
1573092765640,misrecognition,11/7/2019 10:12:46
1573092789020,misrecognition,11/7/2019 10:13:09
1573092825326,what s My Favorites,11/7/2019 10:13:45
1573095063520,agree,11/7/2019 10:51:04
1573095074510,yes,11/7/2019 10:51:15
1573095149241,misrecognition,11/7/2019 10:52:29
1573095417869,misrecognition,11/7/2019 10:56:58
1573096177939,misrecognition,11/7/2019 11:09:38
1573096185400,misrecognition,11/7/2019 11:09:45
1573096187686,i am good at,11/7/2019 11:09:48
1573096455531,next week,11/7/2019 11:14:16
1573096491504,stop following,11/7/2019 11:14:52
