TimeStamp,Corrected Sentence
1557909949401,cool down
1557910267295,remote control
1557910458759,open classroom mode
1557910858159,misrecognition
1557910864839,misrecognition
1557912765942,hey ramble
1557912777849,turn off the light
1557912843282,delete
1557912845837,agree
1557912848831,pick
1557912877276,misrecognition
1557912983112,8
1557912986143,misrecognition
1557912988373,misrecognition
1557913165332,ok
1557913246494,misrecognition
1557913249589,stop
1557913305552,helen ball
1557913678324,misrecognition
1557913683516,4
1557913688111,remove all files
1557914175088,back
1557914191343,misrecognition
1557914535838,misrecognition
1557914544296,misrecognition
1557918207893,helen ball
1557918216148,misrecognition
1557918230388,carambole
1557918233522,misrecognition
1557918236782,like a rainbow
1557918571486,hello then ball
1557918584500,misrecognition
1557918590348,is it about louder
1557918596252,misrecognition
1557918599252,1
1557918612258,back
1557918652918,louder
1557918709943,online shopping
1557918765797,start
1557918788848,1
1557918852880,10
1557918859505,remote control
1557918884358,no 0
1557918895697,no good negative 7
1557918901968,number 2
1557918910665,turn on
1557918937146,got it
1557919000771,come down
1557919019258,how am stuff
1557919027907,remove
1557919033511,hi zenbo
1557919059418,remote control
1557919072239,number 1
1557919080294,turn on level two
1557919151271,remote control
1557919161193,2
1557919322242,remote control
1557919368985,remote control
1557919422823,open youtube
1557919444659,open youtube again
1557919529891,search
1557919612440,how 's it go
1557919641993,can you do
1557919657937,how old are you
1557919681710,do you know siri
1557919722904,how much girl do we have
1557919751158,cool
1557919757141,0
1557919763538,as a ball
1557919768026,come with me
1557919837030,good
1557919845564,misrecognition
1557919848684,class remote
1557919855071,go back
1557919861908,search
1557919898245,hi zenbo
1557919904052,classroom classroom
1557919912326,glass remote
1557919920365,open class remote
1557919936572,exit
1557919946372,open classroom mode
1557919955611,pick
1557919964688,group discussion
1557920085137,misrecognition
1557920092713,misrecognition
1557920116482,delete it
1557920132179,misrecognition
1557920143114,9
1557920146332,misrecognition
1557920154912,alan ball
1557920167012,what can you do for me
1557920209046,clear
1557920216360,misrecognition
1557920222821,ok
1557920240078,capture
1557920289231,great
1557920375596,misrecognition
1557920379689,keep
1557925919829,what can you do
